idx	preset	role	shared_l3	a_slug	a_title	b_slug	b_title	trig_jaccard	shared_triggers	title_identical	a_user_summary	b_user_summary	a_workflow	b_workflow
126	agt-015	AGT-015 契约	采购比价	p2s-agenticpay-procurement-negotiation	AgenticPay — LLM 多 Agent 采购谈判：自主完成价格与 MOQ 协商	p2s-moq-payment-terms-optimization	MOQ与账期联动优化决策 — 最小起订量与付款条件的现金流效益模型	0			让买家 Agent 和供应商 Agent 自动来回议价，几轮内把价格和起订量谈拢，并留下可审计的谈判记录。	把起订量折扣和账期折算成同一把尺子，算清多订多少、账期多长才真正划算。	设定买家 BATNA、目标单价与目标 MOQ → 配置谈判参数（最大轮次、让步幅度与递减比例） → 买家与供应商 Agent 按轮生成报价与论据 → 达成协议或输出最大差距条款交人工跟进	收集 SKU 销售参数、需求方差与库存持有成本率 → 收集供应商报价方案（批量折扣、账期、单价） → 计算 MOQ 与账期的联合成本与现金流价值 → 输出最优 MOQ 建议与账期谈判策略
127	agt-015	AGT-015 契约	采购比价	p2s-agenticpay-procurement-negotiation	AgenticPay — LLM 多 Agent 采购谈判：自主完成价格与 MOQ 协商	p2s-procurement-cost-kpi-price-achievement	采购价格达成率与降本KPI体系 — 全链路降本量化追踪与价格偏差归因	0			让买家 Agent 和供应商 Agent 自动来回议价，几轮内把价格和起订量谈拢，并留下可审计的谈判记录。	盯住实际采购价和预算价的差距，把超支归因到急采、行情还是议价不力，再定降本目标。	设定买家 BATNA、目标单价与目标 MOQ → 配置谈判参数（最大轮次、让步幅度与递减比例） → 买家与供应商 Agent 按轮生成报价与论据 → 达成协议或输出最大差距条款交人工跟进	建立 SKU 级基准价格库并对齐实际采购订单 → 逐月计算 PAR 并对比目标值 → 按急采、行情、议价等维度做偏差归因 → 输出去向明确的降本抓手与 KPI 看板
128	agt-015	AGT-015 契约	采购比价	p2s-moq-payment-terms-optimization	MOQ与账期联动优化决策 — 最小起订量与付款条件的现金流效益模型	p2s-procurement-cost-kpi-price-achievement	采购价格达成率与降本KPI体系 — 全链路降本量化追踪与价格偏差归因	0			把起订量折扣和账期折算成同一把尺子，算清多订多少、账期多长才真正划算。	盯住实际采购价和预算价的差距，把超支归因到急采、行情还是议价不力，再定降本目标。	收集 SKU 销售参数、需求方差与库存持有成本率 → 收集供应商报价方案（批量折扣、账期、单价） → 计算 MOQ 与账期的联合成本与现金流价值 → 输出最优 MOQ 建议与账期谈判策略	建立 SKU 级基准价格库并对齐实际采购订单 → 逐月计算 PAR 并对比目标值 → 按急采、行情、议价等维度做偏差归因 → 输出去向明确的降本抓手与 KPI 看板
129	agt-015	AGT-015 契约	订单协调	p2s-omnichannel-order-orchestration-mas	全渠道订单编排MAS — 多智能体协同的跨平台订单统一调度与冲突消解	p2s-order-promise-date-calculation	ATP/CTP动态承诺交期计算 — 基于实时库存+PLT的订单交货承诺日期引擎	0			多平台同时下单时统一排队分货，先把超卖和账号风险挡在门外。	根据实时库存和前置期，给每个订单一个敢承诺、也做得到的交货日期。	汇聚多渠道订单流并统一库存视图 → 按渠道与订单类型计算优先级分数 → 做库存预留与冲突消解 → 对未满足订单生成主动通知与补偿方案	由各仓在库量减预留量算出可承诺量 → 按出库时长与运输天数推算交期 → 库存不足时用前置期与计划到货推导 CTP 交期 → 标注可靠性标签并按需批量承诺
130	agt-015	AGT-015 契约	订单协调	p2s-omnichannel-order-orchestration-mas	全渠道订单编排MAS — 多智能体协同的跨平台订单统一调度与冲突消解	p2s-po-exception-handling-workflow	采购异常处理工作流 — PO延误/取消/变更的Tag驱动自动处置与升级机制	0			多平台同时下单时统一排队分货，先把超卖和账号风险挡在门外。	把采购异常按类型贴标签自动走处置流程，紧急的自动升级到人。	汇聚多渠道订单流并统一库存视图 → 按渠道与订单类型计算优先级分数 → 做库存预留与冲突消解 → 对未满足订单生成主动通知与补偿方案	识别异常类型与严重度 → 生成异常标签 → 执行对应的自动处置动作 → 达到升级条件时通知负责人并记录日志
131	agt-015	AGT-015 契约	履约跟踪	p2s-on-shelf-availability-sku-matrix	在架率多仓SKU矩阵计算 — 多仓×多SKU有货率精确口径与缺货金额加权	p2s-order-cycle-time-otd-analytics	订单交付周期OTD全链路分解 — On-Time Delivery率/交付阶段拆解/延迟根因归因	0			用仓乘 SKU 的矩阵口径算真实有货率，暴露被总量掩盖的分仓缺货和缺货金额。	把交付周期拆成阶段找出瓶颈，定位延迟主要来自哪个环节，再把 OTD 拉回达标线。	接入各仓各 SKU 库存、日销与单价数据 → 按仓乘 SKU 矩阵口径计算在架率 → 按金额加权计算缺货率并分品类拆解 → 输出补货优先级与调拨建议	接入订单各阶段时间戳数据 → 按阶段计算耗时并与目标对比 → 输出瓶颈环节与延迟根因排序 → 给出改善路径与改善后 OTD 预测
132	agt-015	AGT-015 契约	履约跟踪	p2s-on-shelf-availability-sku-matrix	在架率多仓SKU矩阵计算 — 多仓×多SKU有货率精确口径与缺货金额加权	p2s-order-fulfillment-rate-dispatch-timeliness	订单履约率与发货及时率 — 全链路订单从下单到签收的履约质量量化体系	0			用仓乘 SKU 的矩阵口径算真实有货率，暴露被总量掩盖的分仓缺货和缺货金额。	用四层质量门把订单从下单到签收的履约情况串起来，定位拖累账号健康的 SKU 与环节。	接入各仓各 SKU 库存、日销与单价数据 → 按仓乘 SKU 矩阵口径计算在架率 → 按金额加权计算缺货率并分品类拆解 → 输出补货优先级与调拨建议	整合平台订单、索赔与物流破损数据 → 按四层质量门计算履约漏斗 → 定位缺陷热点 SKU 与环节 → 输出改善行动并跟踪指标回落
133	agt-015	AGT-015 契约	履约跟踪	p2s-on-shelf-availability-sku-matrix	在架率多仓SKU矩阵计算 — 多仓×多SKU有货率精确口径与缺货金额加权	p2s-order-promise-date-calculation	ATP/CTP动态承诺交期计算 — 基于实时库存+PLT的订单交货承诺日期引擎	0			用仓乘 SKU 的矩阵口径算真实有货率，暴露被总量掩盖的分仓缺货和缺货金额。	根据实时库存和前置期，给每个订单一个敢承诺、也做得到的交货日期。	接入各仓各 SKU 库存、日销与单价数据 → 按仓乘 SKU 矩阵口径计算在架率 → 按金额加权计算缺货率并分品类拆解 → 输出补货优先级与调拨建议	由各仓在库量减预留量算出可承诺量 → 按出库时长与运输天数推算交期 → 库存不足时用前置期与计划到货推导 CTP 交期 → 标注可靠性标签并按需批量承诺
134	agt-015	AGT-015 契约	履约跟踪	p2s-on-shelf-availability-sku-matrix	在架率多仓SKU矩阵计算 — 多仓×多SKU有货率精确口径与缺货金额加权	p2s-po-exception-handling-workflow	采购异常处理工作流 — PO延误/取消/变更的Tag驱动自动处置与升级机制	0			用仓乘 SKU 的矩阵口径算真实有货率，暴露被总量掩盖的分仓缺货和缺货金额。	把采购异常按类型贴标签自动走处置流程，紧急的自动升级到人。	接入各仓各 SKU 库存、日销与单价数据 → 按仓乘 SKU 矩阵口径计算在架率 → 按金额加权计算缺货率并分品类拆解 → 输出补货优先级与调拨建议	识别异常类型与严重度 → 生成异常标签 → 执行对应的自动处置动作 → 达到升级条件时通知负责人并记录日志
135	agt-015	AGT-015 契约	履约跟踪/履约异常	p2s-order-cycle-time-otd-analytics	订单交付周期OTD全链路分解 — On-Time Delivery率/交付阶段拆解/延迟根因归因	p2s-order-fulfillment-rate-dispatch-timeliness	订单履约率与发货及时率 — 全链路订单从下单到签收的履约质量量化体系	0			把交付周期拆成阶段找出瓶颈，定位延迟主要来自哪个环节，再把 OTD 拉回达标线。	用四层质量门把订单从下单到签收的履约情况串起来，定位拖累账号健康的 SKU 与环节。	接入订单各阶段时间戳数据 → 按阶段计算耗时并与目标对比 → 输出瓶颈环节与延迟根因排序 → 给出改善路径与改善后 OTD 预测	整合平台订单、索赔与物流破损数据 → 按四层质量门计算履约漏斗 → 定位缺陷热点 SKU 与环节 → 输出改善行动并跟踪指标回落
136	agt-015	AGT-015 契约	履约跟踪	p2s-order-cycle-time-otd-analytics	订单交付周期OTD全链路分解 — On-Time Delivery率/交付阶段拆解/延迟根因归因	p2s-order-promise-date-calculation	ATP/CTP动态承诺交期计算 — 基于实时库存+PLT的订单交货承诺日期引擎	0			把交付周期拆成阶段找出瓶颈，定位延迟主要来自哪个环节，再把 OTD 拉回达标线。	根据实时库存和前置期，给每个订单一个敢承诺、也做得到的交货日期。	接入订单各阶段时间戳数据 → 按阶段计算耗时并与目标对比 → 输出瓶颈环节与延迟根因排序 → 给出改善路径与改善后 OTD 预测	由各仓在库量减预留量算出可承诺量 → 按出库时长与运输天数推算交期 → 库存不足时用前置期与计划到货推导 CTP 交期 → 标注可靠性标签并按需批量承诺
137	agt-015	AGT-015 契约	履约跟踪	p2s-order-cycle-time-otd-analytics	订单交付周期OTD全链路分解 — On-Time Delivery率/交付阶段拆解/延迟根因归因	p2s-po-exception-handling-workflow	采购异常处理工作流 — PO延误/取消/变更的Tag驱动自动处置与升级机制	0			把交付周期拆成阶段找出瓶颈，定位延迟主要来自哪个环节，再把 OTD 拉回达标线。	把采购异常按类型贴标签自动走处置流程，紧急的自动升级到人。	接入订单各阶段时间戳数据 → 按阶段计算耗时并与目标对比 → 输出瓶颈环节与延迟根因排序 → 给出改善路径与改善后 OTD 预测	识别异常类型与严重度 → 生成异常标签 → 执行对应的自动处置动作 → 达到升级条件时通知负责人并记录日志
138	agt-015	AGT-015 契约	履约跟踪	p2s-order-fulfillment-rate-dispatch-timeliness	订单履约率与发货及时率 — 全链路订单从下单到签收的履约质量量化体系	p2s-order-promise-date-calculation	ATP/CTP动态承诺交期计算 — 基于实时库存+PLT的订单交货承诺日期引擎	0			用四层质量门把订单从下单到签收的履约情况串起来，定位拖累账号健康的 SKU 与环节。	根据实时库存和前置期，给每个订单一个敢承诺、也做得到的交货日期。	整合平台订单、索赔与物流破损数据 → 按四层质量门计算履约漏斗 → 定位缺陷热点 SKU 与环节 → 输出改善行动并跟踪指标回落	由各仓在库量减预留量算出可承诺量 → 按出库时长与运输天数推算交期 → 库存不足时用前置期与计划到货推导 CTP 交期 → 标注可靠性标签并按需批量承诺
139	agt-015	AGT-015 契约	履约跟踪	p2s-order-fulfillment-rate-dispatch-timeliness	订单履约率与发货及时率 — 全链路订单从下单到签收的履约质量量化体系	p2s-po-exception-handling-workflow	采购异常处理工作流 — PO延误/取消/变更的Tag驱动自动处置与升级机制	0			用四层质量门把订单从下单到签收的履约情况串起来，定位拖累账号健康的 SKU 与环节。	把采购异常按类型贴标签自动走处置流程，紧急的自动升级到人。	整合平台订单、索赔与物流破损数据 → 按四层质量门计算履约漏斗 → 定位缺陷热点 SKU 与环节 → 输出改善行动并跟踪指标回落	识别异常类型与严重度 → 生成异常标签 → 执行对应的自动处置动作 → 达到升级条件时通知负责人并记录日志
140	agt-015	AGT-015 契约	订单协调/履约跟踪	p2s-order-promise-date-calculation	ATP/CTP动态承诺交期计算 — 基于实时库存+PLT的订单交货承诺日期引擎	p2s-po-exception-handling-workflow	采购异常处理工作流 — PO延误/取消/变更的Tag驱动自动处置与升级机制	0			根据实时库存和前置期，给每个订单一个敢承诺、也做得到的交货日期。	把采购异常按类型贴标签自动走处置流程，紧急的自动升级到人。	由各仓在库量减预留量算出可承诺量 → 按出库时长与运输天数推算交期 → 库存不足时用前置期与计划到货推导 CTP 交期 → 标注可靠性标签并按需批量承诺	识别异常类型与严重度 → 生成异常标签 → 执行对应的自动处置动作 → 达到升级条件时通知负责人并记录日志
141	agt-016	AGT-016 知量	需求预测	p2s-adaptive-forecast-accuracy-optimization	Adaptive Forecast Accuracy Optimization — 自适应预测精准化：滚动误差修正驱动库存精度	p2s-agent-time-series-forecasting	Agent时序预测 — 智能体驱动的自适应需求预测工作流	0			需求被促销或竞品打乱时，自动发现预测跑偏并当天调整，不用等到月底重训模型。	按每个产品的数据特征自动挑最合适的时序模型并集成，替代运营凭经验手选模型。	接入日度预测与实际销量数据流 → 用滚动误差与漂移检测判断系统性偏差 → 应用偏差修正，输出修正后预测 → 跟踪 MAPE 与过度备货率并迭代参数	接入历史日销量时序与大促日历事件 → 诊断序列的季节性、趋势与促销冲击特征 → 按诊断结论匹配候选模型并集成 → 输出各品类预测与选型说明
142	agt-016	AGT-016 知量	需求预测	p2s-adaptive-forecast-accuracy-optimization	Adaptive Forecast Accuracy Optimization — 自适应预测精准化：滚动误差修正驱动库存精度	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	0			需求被促销或竞品打乱时，自动发现预测跑偏并当天调整，不用等到月底重训模型。	需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	接入日度预测与实际销量数据流 → 用滚动误差与漂移检测判断系统性偏差 → 应用偏差修正，输出修正后预测 → 跟踪 MAPE 与过度备货率并迭代参数	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议
143	agt-016	AGT-016 知量	需求预测	p2s-adaptive-forecast-accuracy-optimization	Adaptive Forecast Accuracy Optimization — 自适应预测精准化：滚动误差修正驱动库存精度	p2s-automated-replenishment-decision-engine	Automated Replenishment Decision Engine — 备货决策自动化引擎：从规则到智能补货	0			需求被促销或竞品打乱时，自动发现预测跑偏并当天调整，不用等到月底重训模型。	把每月几十个 SKU 的备货决策一次跑完，人工只复审高风险的那部分。	接入日度预测与实际销量数据流 → 用滚动误差与漂移检测判断系统性偏差 → 应用偏差修正，输出修正后预测 → 跟踪 MAPE 与过度备货率并迭代参数	计算安全库存与再订货点 → 判断库存覆盖天数是否触发补货 → 按目标水位算补货量并向上取整到 MOQ 整数倍 → 输出风险分与人工审核标记
144	agt-016	AGT-016 知量	需求预测	p2s-adaptive-forecast-accuracy-optimization	Adaptive Forecast Accuracy Optimization — 自适应预测精准化：滚动误差修正驱动库存精度	p2s-bullwhip-effect-kalman-mitigation	Bullwhip Effect Kalman Mitigation—用 Kalman Filter 消除牛鞭效应	0			需求被促销或竞品打乱时，自动发现预测跑偏并当天调整，不用等到月底重训模型。	用卡尔曼滤波把订单里的短期尖峰滤掉，让补货量贴近真实需求，减少上游过量备货。	接入日度预测与实际销量数据流 → 用滚动误差与漂移检测判断系统性偏差 → 应用偏差修正，输出修正后预测 → 跟踪 MAPE 与过度备货率并迭代参数	整理日订单、库存、补货提前期与促销标记 → 运行卡尔曼滤波得到平滑需求序列 → 计算牛鞭比并标注异常波动 → 输出补货建议量与多级仓配波动告警
145	agt-016	AGT-016 知量	需求预测	p2s-adaptive-forecast-accuracy-optimization	Adaptive Forecast Accuracy Optimization — 自适应预测精准化：滚动误差修正驱动库存精度	p2s-bullwhip-effect-mitigation	Bullwhip Effect Mitigation — 牛鞭效应量化与 LNN+XGBoost 抑制	0			需求被促销或竞品打乱时，自动发现预测跑偏并当天调整，不用等到月底重训模型。	分层算出订单在各环节被放大了几倍，给出订货平滑系数和大促前的合理订单区间。	接入日度预测与实际销量数据流 → 用滚动误差与漂移检测判断系统性偏差 → 应用偏差修正，输出修正后预测 → 跟踪 MAPE 与过度备货率并迭代参数	整理零售端到工厂各层周度订单与终端销售数据 → 逐层计算牛鞭效应放大系数 → 输出指数平滑系数建议值 → 给出大促前订单区间并提示去库存风险
146	agt-016	AGT-016 知量	补货模拟	p2s-adaptive-reorder-point-kalman	自适应补货点 Kalman 版 — 让 ROP 随市场需求动态漂移	p2s-aim-rm-llm-inventory-mas-memory	AIM-RM — LLM 多 Agent 库存管理：历史经验相似匹配	0			让补货点跟着需求走：旺季自动抬高、淡季自动回落，需求突然暴涨时也能快速追上去。	新市场或新 SKU 没有历史数据时，靠检索相似历史场景的记忆来给出有依据的补货建议。	初始化需求均值与不确定性，设定提前期、服务水平与 Q/R → 每日用新销量跑 Kalman 预测步与更新步，重估均值与方差 → 按需求量加安全余量算当日动态补货点 → 与静态 ROP 对比首次触发补货时间，输出估计轨迹	把当前库存场景编码成 ≥8 维特征向量 → 在记忆库中按距离检索最相似的历史决策 → 把相似场景与当时订货量、持有/缺货成本交给 Agent 决策 → 回写本次场景与结果，持续扩充记忆库
147	agt-016	AGT-016 知量	补货模拟	p2s-adaptive-reorder-point-kalman	自适应补货点 Kalman 版 — 让 ROP 随市场需求动态漂移	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	0			让补货点跟着需求走：旺季自动抬高、淡季自动回落，需求突然暴涨时也能快速追上去。	需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	初始化需求均值与不确定性，设定提前期、服务水平与 Q/R → 每日用新销量跑 Kalman 预测步与更新步，重估均值与方差 → 按需求量加安全余量算当日动态补货点 → 与静态 ROP 对比首次触发补货时间，输出估计轨迹	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议
148	agt-016	AGT-016 知量	补货模拟	p2s-adaptive-reorder-point-kalman	自适应补货点 Kalman 版 — 让 ROP 随市场需求动态漂移	p2s-automated-replenishment-decision-engine	Automated Replenishment Decision Engine — 备货决策自动化引擎：从规则到智能补货	0			让补货点跟着需求走：旺季自动抬高、淡季自动回落，需求突然暴涨时也能快速追上去。	把每月几十个 SKU 的备货决策一次跑完，人工只复审高风险的那部分。	初始化需求均值与不确定性，设定提前期、服务水平与 Q/R → 每日用新销量跑 Kalman 预测步与更新步，重估均值与方差 → 按需求量加安全余量算当日动态补货点 → 与静态 ROP 对比首次触发补货时间，输出估计轨迹	计算安全库存与再订货点 → 判断库存覆盖天数是否触发补货 → 按目标水位算补货量并向上取整到 MOQ 整数倍 → 输出风险分与人工审核标记
149	agt-016	AGT-016 知量	补货模拟	p2s-adaptive-reorder-point-kalman	自适应补货点 Kalman 版 — 让 ROP 随市场需求动态漂移	p2s-demand-supply-matching-gap-analysis	供需缺口分析与优先级分配决策 — 供给不足时的SKU优先级量化与分配算法	0			让补货点跟着需求走：旺季自动抬高、淡季自动回落，需求突然暴涨时也能快速追上去。	供给不够时按毛利、平台权重和重要性算清优先级，把有限的货分给最该保的 SKU 和渠道。	初始化需求均值与不确定性，设定提前期、服务水平与 Q/R → 每日用新销量跑 Kalman 预测步与更新步，重估均值与方差 → 按需求量加安全余量算当日动态补货点 → 与静态 ROP 对比首次触发补货时间，输出估计轨迹	汇总各 SKU 需求计划与可供应量并计算总缺口 → 按毛利、渠道权重与 SKU 分级计算优先级 → 生成各 SKU 与渠道的分配方案 → 输出压缩供给、空运补缺与广告调整建议
150	agt-016	AGT-016 知量	需求预测	p2s-agent-time-series-forecasting	Agent时序预测 — 智能体驱动的自适应需求预测工作流	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	0			按每个产品的数据特征自动挑最合适的时序模型并集成，替代运营凭经验手选模型。	需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	接入历史日销量时序与大促日历事件 → 诊断序列的季节性、趋势与促销冲击特征 → 按诊断结论匹配候选模型并集成 → 输出各品类预测与选型说明	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议
151	agt-016	AGT-016 知量	需求预测	p2s-agent-time-series-forecasting	Agent时序预测 — 智能体驱动的自适应需求预测工作流	p2s-automated-replenishment-decision-engine	Automated Replenishment Decision Engine — 备货决策自动化引擎：从规则到智能补货	0			按每个产品的数据特征自动挑最合适的时序模型并集成，替代运营凭经验手选模型。	把每月几十个 SKU 的备货决策一次跑完，人工只复审高风险的那部分。	接入历史日销量时序与大促日历事件 → 诊断序列的季节性、趋势与促销冲击特征 → 按诊断结论匹配候选模型并集成 → 输出各品类预测与选型说明	计算安全库存与再订货点 → 判断库存覆盖天数是否触发补货 → 按目标水位算补货量并向上取整到 MOQ 整数倍 → 输出风险分与人工审核标记
152	agt-016	AGT-016 知量	需求预测	p2s-agent-time-series-forecasting	Agent时序预测 — 智能体驱动的自适应需求预测工作流	p2s-bullwhip-effect-kalman-mitigation	Bullwhip Effect Kalman Mitigation—用 Kalman Filter 消除牛鞭效应	0			按每个产品的数据特征自动挑最合适的时序模型并集成，替代运营凭经验手选模型。	用卡尔曼滤波把订单里的短期尖峰滤掉，让补货量贴近真实需求，减少上游过量备货。	接入历史日销量时序与大促日历事件 → 诊断序列的季节性、趋势与促销冲击特征 → 按诊断结论匹配候选模型并集成 → 输出各品类预测与选型说明	整理日订单、库存、补货提前期与促销标记 → 运行卡尔曼滤波得到平滑需求序列 → 计算牛鞭比并标注异常波动 → 输出补货建议量与多级仓配波动告警
153	agt-016	AGT-016 知量	需求预测	p2s-agent-time-series-forecasting	Agent时序预测 — 智能体驱动的自适应需求预测工作流	p2s-bullwhip-effect-mitigation	Bullwhip Effect Mitigation — 牛鞭效应量化与 LNN+XGBoost 抑制	0			按每个产品的数据特征自动挑最合适的时序模型并集成，替代运营凭经验手选模型。	分层算出订单在各环节被放大了几倍，给出订货平滑系数和大促前的合理订单区间。	接入历史日销量时序与大促日历事件 → 诊断序列的季节性、趋势与促销冲击特征 → 按诊断结论匹配候选模型并集成 → 输出各品类预测与选型说明	整理零售端到工厂各层周度订单与终端销售数据 → 逐层计算牛鞭效应放大系数 → 输出指数平滑系数建议值 → 给出大促前订单区间并提示去库存风险
154	agt-016	AGT-016 知量	补货模拟	p2s-aim-rm-llm-inventory-mas-memory	AIM-RM — LLM 多 Agent 库存管理：历史经验相似匹配	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	0			新市场或新 SKU 没有历史数据时，靠检索相似历史场景的记忆来给出有依据的补货建议。	需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	把当前库存场景编码成 ≥8 维特征向量 → 在记忆库中按距离检索最相似的历史决策 → 把相似场景与当时订货量、持有/缺货成本交给 Agent 决策 → 回写本次场景与结果，持续扩充记忆库	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议
155	agt-016	AGT-016 知量	补货模拟	p2s-aim-rm-llm-inventory-mas-memory	AIM-RM — LLM 多 Agent 库存管理：历史经验相似匹配	p2s-automated-replenishment-decision-engine	Automated Replenishment Decision Engine — 备货决策自动化引擎：从规则到智能补货	0			新市场或新 SKU 没有历史数据时，靠检索相似历史场景的记忆来给出有依据的补货建议。	把每月几十个 SKU 的备货决策一次跑完，人工只复审高风险的那部分。	把当前库存场景编码成 ≥8 维特征向量 → 在记忆库中按距离检索最相似的历史决策 → 把相似场景与当时订货量、持有/缺货成本交给 Agent 决策 → 回写本次场景与结果，持续扩充记忆库	计算安全库存与再订货点 → 判断库存覆盖天数是否触发补货 → 按目标水位算补货量并向上取整到 MOQ 整数倍 → 输出风险分与人工审核标记
156	agt-016	AGT-016 知量	补货模拟	p2s-aim-rm-llm-inventory-mas-memory	AIM-RM — LLM 多 Agent 库存管理：历史经验相似匹配	p2s-demand-supply-matching-gap-analysis	供需缺口分析与优先级分配决策 — 供给不足时的SKU优先级量化与分配算法	0			新市场或新 SKU 没有历史数据时，靠检索相似历史场景的记忆来给出有依据的补货建议。	供给不够时按毛利、平台权重和重要性算清优先级，把有限的货分给最该保的 SKU 和渠道。	把当前库存场景编码成 ≥8 维特征向量 → 在记忆库中按距离检索最相似的历史决策 → 把相似场景与当时订货量、持有/缺货成本交给 Agent 决策 → 回写本次场景与结果，持续扩充记忆库	汇总各 SKU 需求计划与可供应量并计算总缺口 → 按毛利、渠道权重与 SKU 分级计算优先级 → 生成各 SKU 与渠道的分配方案 → 输出压缩供给、空运补缺与广告调整建议
157	agt-016	AGT-016 知量	需求预测/补货模拟	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	p2s-automated-replenishment-decision-engine	Automated Replenishment Decision Engine — 备货决策自动化引擎：从规则到智能补货	0			需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	把每月几十个 SKU 的备货决策一次跑完，人工只复审高风险的那部分。	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议	计算安全库存与再订货点 → 判断库存覆盖天数是否触发补货 → 按目标水位算补货量并向上取整到 MOQ 整数倍 → 输出风险分与人工审核标记
158	agt-016	AGT-016 知量	需求预测	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	p2s-bullwhip-effect-kalman-mitigation	Bullwhip Effect Kalman Mitigation—用 Kalman Filter 消除牛鞭效应	0			需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	用卡尔曼滤波把订单里的短期尖峰滤掉，让补货量贴近真实需求，减少上游过量备货。	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议	整理日订单、库存、补货提前期与促销标记 → 运行卡尔曼滤波得到平滑需求序列 → 计算牛鞭比并标注异常波动 → 输出补货建议量与多级仓配波动告警
159	agt-016	AGT-016 知量	需求预测	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	p2s-bullwhip-effect-mitigation	Bullwhip Effect Mitigation — 牛鞭效应量化与 LNN+XGBoost 抑制	0			需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	分层算出订单在各环节被放大了几倍，给出订货平滑系数和大促前的合理订单区间。	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议	整理零售端到工厂各层周度订单与终端销售数据 → 逐层计算牛鞭效应放大系数 → 输出指数平滑系数建议值 → 给出大促前订单区间并提示去库存风险
160	agt-016	AGT-016 知量	补货模拟	p2s-arima-garch-demand-volatility	ARIMA-GARCH Demand Volatility — 需求波动率预测（不确定性区间建模）	p2s-demand-supply-matching-gap-analysis	供需缺口分析与优先级分配决策 — 供给不足时的SKU优先级量化与分配算法	0			需求忽高忽低时动态调整安全库存，波动大就多留、平稳就少压货，降低持仓成本。	供给不够时按毛利、平台权重和重要性算清优先级，把有限的货分给最该保的 SKU 和渠道。	准备日度销售序列与历史促销日历 → 拟合需求均值过程与波动率过程 → 输出时变需求置信区间 → 按区间折算动态安全库存建议	汇总各 SKU 需求计划与可供应量并计算总缺口 → 按毛利、渠道权重与 SKU 分级计算优先级 → 生成各 SKU 与渠道的分配方案 → 输出压缩供给、空运补缺与广告调整建议
161	agt-016	AGT-016 知量	需求预测	p2s-automated-replenishment-decision-engine	Automated Replenishment Decision Engine — 备货决策自动化引擎：从规则到智能补货	p2s-bullwhip-effect-kalman-mitigation	Bullwhip Effect Kalman Mitigation—用 Kalman Filter 消除牛鞭效应	0			把每月几十个 SKU 的备货决策一次跑完，人工只复审高风险的那部分。	用卡尔曼滤波把订单里的短期尖峰滤掉，让补货量贴近真实需求，减少上游过量备货。	计算安全库存与再订货点 → 判断库存覆盖天数是否触发补货 → 按目标水位算补货量并向上取整到 MOQ 整数倍 → 输出风险分与人工审核标记	整理日订单、库存、补货提前期与促销标记 → 运行卡尔曼滤波得到平滑需求序列 → 计算牛鞭比并标注异常波动 → 输出补货建议量与多级仓配波动告警
